bliánta	laJopennâ
bliánta	lajopennâ
bláđđi	okkolostâ
boagán	pooVij
boagán	poovij
boahtimuš	puáttim
boahtteáigi	puát'teevuotâ
boaimmáš	piehâin~piehânj
boaldenmuorra	puál'dimmuoRâ
boaldámuš	puál'dámuš~puál'dámâš
boaldámuš	puáldámuš
boallorássi	pállurääSi~-rääsi
boallu	puál'lu
boanda	eennâmviljâleijee
boaran	vuorâs
boardda	porthááh
boaresnieida	puá'risniei'dâ
boaresnieida	puárisnieidâ
boarisvuohta	puá'risvuotâ
boarisvuohta	puárisvuotâ
boarka	pikkánj~pikkáin
boaru	puá'roi~puá'rui
boasttuvuohta	puá'stuvuotâ
boazoalmmái	puá'suia'lmai
boazodoallu	puá'suituáLu
boazodoallu	puásuituálu
boazoeaiggát	puá'suiomâsteijee
boazoeaiggát	puásuiomâsteijee
boazolohku	puá'suiloho
boazolohku	puásuiloho
boazorikkis	puá'suiriges
boazorikkis	puásuiriges
boazu	puásui
boađus	puáđus
boađđu	kárgu
boaššu	puáššu
boddu	kiev'đâ
bodni	vye'Likerdi
bodni	vyelikerdi
bohccosuoidni	jävrihuáš'ši
bohccosuoidni	jävrihuášši
bohccádat	poccee
bohkká	pokkâ
bohtal	puttâl
boija	kiäi'kkoo
boimmon	tuá'pánjâš~tuá'pánjâs
boksen	ču'rmâdâttâm
boksen	čurmâdâttâm
bolot	naappâl
bomba	pommi
bonjahat	toppiittâh
bonus	ponos
borasdávda	puurâs
boraspire	piä'tuellee
boraspire	piätu
borga	purgâ
borgemánnu	porgemááNu
borgár	aalmugjeessân
borgár	puár'vár
borgár	puárvár
borgárvuohta	aalmugjeessânvuotâ
borjadat	purjâd
borjjas	puurjâs
borramušgávpi	pi'vtâskävppi
borramušgávpi	pivtâskävppi
borran	purâdem
borranmiella	puurrâmlusto
borus	poros
bosan	pieg'guutteijee
bosan	piegguutteijee
boska	puurrâmrääSi~-rääsi
boska	puurrâmrääsi
bossu	possooväälis
botkkon	puáđhun
botkkus	mie'skâttâsah
botkkus	mieskâttâsah
bovttáš	poovtâš
boŋkor	pövkkyr
bronsa	pronssi
buddu	puddo
buhkka	poškâ
buhtadus	lones
buhtisteapmi	putástâs
buidodat	puái'dáhvuotâ
buidodat	puáidáhvuotâ
buktu	pyeh'tim
buktu	pyehtim
bulet	puolik
bulljaras	ku'blâkkâs
bumma	puomâ
bumpaloddi	jeggiluát'ku
buohccedivššár	pyec'ceitipšoo
buohccedivššár	pyecceitipšoo
buohcceviessu	pyec'ceiviäSu
buohcceviessu	pyecceiviäsu
buohcci	pyec'cee
buohcu	puá'cuvuotâ
buoidda	puoidâ
buoiddat	pagge
buolaš	ko'lmâsvuotâ
buolaš	puolâš
buollahat	puál'lááttâs
buollin	puáLu
buollin	puálu
buolva	puol'vâ
buonjus	puá'njumâš
buorrevuohta	pye'Rivuotâ
buorrevuohta	pyerivuotâ
buorri	pye'Rivuotâ
buorádus	puá'rádâs
buorádus	puárádâs
buoska	juŋkká
buoska	puos'kâ
buoska	puoskâ
buovnnjat	muldesäplig
burru	ergi
busir	pusseer
busse	lin'jâšavdo
busse	sekkâ
bussá	kissá
bustávva	puustav
butká	putká
buvri	luggo
buvssat	puuvsah
buvtta	puovtâ
buvttadeapmi	puo'vtâdâs
buvttadeapmi	puovtâdâs
buvvedat	puVáduvvâš
buvvedat	puváduvvâš
bušeahtta	budjet
buđet	potás
buđis	poovces
buđđá	kuo'Lâpursâ
buđđá	kuolâpursâ
bábir	pááppár~pááppâr~páppár~páppâr
báddi	orrâ
báddi	päddi
bádji	pááJá
bádji	páájá
bággu	pággu
báhkin	pääHin
báhkin	päähin
báhkka	pakkeet
báhkki	päkki
báhpagárdin	pappâl
báhppa	pappâ
báhppagoddi	pappâkodde
báhtareaddji	patâreijee
báhtareapmi	patârem
báhti	pääti
báidi	päiđi
báikegoddi	päikkikodde
báiste	paistpánnu
bákti	pähti
bálda	kuoRâ
bálddis	pääldis
bálkkašupmi	pálhášume
bálká	pälkki
bállahastin	leggistem
bálstá	pálstá
bálvaleaddji	palvâleijee
bálvalus	palvâlus~palvâlâs
bánno	pánnu
bára	baari
bárbmoloddi	keSilodde
bárbmoloddi	kesilodde
bárbmu	lu'ptâstâh
bárdebeaivi	pärdipeivi
bárdni	alge
bárel	paarrâl
bárra	paRâkodde
bárra	paaRâ
bárra	parâkodde
bárroguhkkodat	párukukkodâh
bárru	pááRu
bárru	pááru
bártnáš	algaaš
básmá	pálkku
bátni	pääNi
bátni	pääni
bávkkas	peeškâs
bávččas	poovčâs
bázzi	pääcis
bážan	pääččimviärju
báŋka	vie'mârdâs
báŋku	paŋkki
cagan	meRâkuáv'ská
cagan	merâkuávská
caggaseapmi	iäs'tu
caggaseapmi	iästu
cahkkehus	cokkiittem
ceahkkálas	ciäk'kádâh
ceahkkálas	ciäkkádâh
cealkka	ceelhâ
cealkámuš	ciäl'kkámuš
cealkámuš	ciälkkámuš
ciebat	velmâsâš
cihca	njävli
ciiku	cijkko
cizopaš	čabivuávláš
cizáš	uccâloddááš
cohkolat	ko'škes
cubborássi	huáš'ši
cubborássi	huášši
cuohppa	cuop'pâ
cuoppu	cuá'bui
cuovka	cuovkkâloho
cuoŋománnu	cuá'ŋuimááNu
cuoŋu	cuá'ŋoi~cuáŋui
dahkki	tahhee
dahku	taho
dajahus	o'lgospyeh'tim
dajaldat	eđâldâh
dajus	iäđus
darjjesámegiella	tarjesämikieLâ
datni	taNe
datni	tane
davvi	fiestâr
davvi	tave
davviriika	tave-eennâm
davvisámegiella	orjâlâškieLâ
davvisápmi	orjâlâš
daŋas	tooŋâs
deaddu	teedâ
deahkki	tekki
deaivvadansadji	littosaje
deappu	tiäb'bu
